NAME,Rarity Sum
Pet Bricks #3558,12.84
Pet Bricks #3853,13.84
Pet Bricks #3669,14.139999999999999
Pet Bricks #3773,14.540000000000001
Pet Bricks #2617,14.58
Pet Bricks #663,14.62
Pet Bricks #318,14.639999999999999
Pet Bricks #1560,15.02
Pet Bricks #4071,15.12
Pet Bricks #4188,15.219999999999999
Pet Bricks #192,15.26
Pet Bricks #1913,15.34
Pet Bricks #3836,15.42
Pet Bricks #618,15.48
Pet Bricks #1798,15.5
Pet Bricks #1548,15.639999999999999
Pet Bricks #2081,15.680000000000001
Pet Bricks #3350,15.7
Pet Bricks #1369,15.78
Pet Bricks #2963,15.82
Pet Bricks #4288,15.860000000000001
Pet Bricks #1849,15.88
Pet Bricks #2336,15.9
Pet Bricks #294,15.94
Pet Bricks #4005,15.98
Pet Bricks #4905,15.98
Pet Bricks #1057,16.02
Pet Bricks #3704,16.02
Pet Bricks #4427,16.12
Pet Bricks #923,16.18
Pet Bricks #9,16.22
Pet Bricks #921,16.24
Pet Bricks #2729,16.24
Pet Bricks #3526,16.26
Pet Bricks #1537,16.3
Pet Bricks #1143,16.34
Pet Bricks #711,16.4
Pet Bricks #3764,16.44
Pet Bricks #220,16.48
Pet Bricks #3024,16.5
Pet Bricks #2196,16.52
Pet Bricks #491,16.62
Pet Bricks #1942,16.66
Pet Bricks #2847,16.72
Pet Bricks #3461,16.74
Pet Bricks #263,16.759999999999998
Pet Bricks #103,16.76
Pet Bricks #4574,16.779999999999998
Pet Bricks #2199,16.78
Pet Bricks #2662,16.78
Pet Bricks #2883,16.8
Pet Bricks #3681,16.82
Pet Bricks #3556,16.84
Pet Bricks #224,16.86
Pet Bricks #64,16.98
Pet Bricks #1860,17
Pet Bricks #1383,17.02
Pet Bricks #1866,17.02
Pet Bricks #1826,17.06
Pet Bricks #4264,17.080000000000002
Pet Bricks #1769,17.1
Pet Bricks #2893,17.12
Pet Bricks #4100,17.159999999999997
Pet Bricks #1936,17.16
Pet Bricks #2749,17.16
Pet Bricks #3725,17.18
Pet Bricks #2855,17.22
Pet Bricks #1274,17.220000000000002
Pet Bricks #1951,17.259999999999998
Pet Bricks #2499,17.34
Pet Bricks #4277,17.36
Pet Bricks #485,17.38
Pet Bricks #2228,17.380000000000003
Pet Bricks #1527,17.4
Pet Bricks #2095,17.400000000000002
Pet Bricks #1007,17.419999999999998
Pet Bricks #4018,17.419999999999998
Pet Bricks #4983,17.52
Pet Bricks #1583,17.54
Pet Bricks #4947,17.54
Pet Bricks #3818,17.56
Pet Bricks #4945,17.56
Pet Bricks #1472,17.58
Pet Bricks #1602,17.62
Pet Bricks #2201,17.64
Pet Bricks #510,17.68
Pet Bricks #1039,17.740000000000002
Pet Bricks #2065,17.8
Pet Bricks #4806,17.82
Pet Bricks #3792,17.9
Pet Bricks #606,17.919999999999998
Pet Bricks #792,17.919999999999998
Pet Bricks #4689,17.94
Pet Bricks #1946,17.959999999999997
Pet Bricks #2940,17.96
Pet Bricks #1893,18.02
Pet Bricks #3346,18.02
Pet Bricks #2726,18.04
Pet Bricks #965,18.1
Pet Bricks #2848,18.1
Pet Bricks #3176,18.18
Pet Bricks #997,18.200000000000003
Pet Bricks #4355,18.200000000000003
Pet Bricks #4466,18.22
Pet Bricks #3981,18.240000000000002
Pet Bricks #2247,18.259999999999998
Pet Bricks #1905,18.28
Pet Bricks #746,18.3
Pet Bricks #2181,18.359999999999996
Pet Bricks #2483,18.36
Pet Bricks #190,18.380000000000003
Pet Bricks #647,18.380000000000003
Pet Bricks #4593,18.380000000000003
Pet Bricks #1171,18.4
Pet Bricks #2462,18.419999999999998
Pet Bricks #4390,18.439999999999998
Pet Bricks #3613,18.44
Pet Bricks #888,18.46
Pet Bricks #3840,18.46
Pet Bricks #73,18.52
Pet Bricks #4002,18.52
Pet Bricks #3258,18.54
Pet Bricks #3976,18.54
Pet Bricks #1162,18.560000000000002
Pet Bricks #4388,18.619999999999997
Pet Bricks #507,18.62
Pet Bricks #1114,18.68
Pet Bricks #2645,18.68
Pet Bricks #4145,18.68
Pet Bricks #4805,18.68
Pet Bricks #1404,18.72
Pet Bricks #158,18.74
Pet Bricks #456,18.759999999999998
Pet Bricks #2312,18.759999999999998
Pet Bricks #3998,18.759999999999998
Pet Bricks #2046,18.76
Pet Bricks #1088,18.799999999999997
Pet Bricks #2064,18.84
Pet Bricks #173,18.86
Pet Bricks #461,18.86
Pet Bricks #4062,18.860000000000003
Pet Bricks #4628,18.88
Pet Bricks #1314,18.9
Pet Bricks #1570,18.9
Pet Bricks #134,18.919999999999998
Pet Bricks #2599,18.919999999999998
Pet Bricks #1364,18.939999999999998
Pet Bricks #2775,18.939999999999998
Pet Bricks #1036,18.96
Pet Bricks #3953,18.98
Pet Bricks #250,19
Pet Bricks #4588,19.06
Pet Bricks #869,19.060000000000002
Pet Bricks #87,19.080000000000002
Pet Bricks #1022,19.080000000000002
Pet Bricks #1983,19.099999999999998
Pet Bricks #4236,19.099999999999998
Pet Bricks #2050,19.1
Pet Bricks #2301,19.1
Pet Bricks #2331,19.1
Pet Bricks #4936,19.1
Pet Bricks #1345,19.12
Pet Bricks #1417,19.12
Pet Bricks #168,19.14
Pet Bricks #3834,19.14
Pet Bricks #3357,19.16
Pet Bricks #3521,19.16
Pet Bricks #4530,19.16
Pet Bricks #2977,19.2
Pet Bricks #3501,19.2
Pet Bricks #1035,19.22
Pet Bricks #3213,19.220000000000002
Pet Bricks #1734,19.259999999999998
Pet Bricks #3473,19.26
Pet Bricks #4049,19.26
Pet Bricks #3848,19.32
Pet Bricks #1959,19.339999999999996
Pet Bricks #4554,19.360000000000003
Pet Bricks #88,19.379999999999995
Pet Bricks #1812,19.38
Pet Bricks #1896,19.439999999999998
Pet Bricks #2317,19.44
Pet Bricks #3852,19.48
Pet Bricks #910,19.499999999999996
Pet Bricks #4987,19.499999999999996
Pet Bricks #34,19.5
Pet Bricks #1547,19.5
Pet Bricks #2244,19.5
Pet Bricks #3479,19.500000000000004
Pet Bricks #4823,19.52
Pet Bricks #1754,19.520000000000003
Pet Bricks #133,19.54
Pet Bricks #1674,19.54
Pet Bricks #1809,19.54
Pet Bricks #4448,19.540000000000003
Pet Bricks #4569,19.559999999999995
Pet Bricks #1643,19.58
Pet Bricks #3883,19.599999999999998
Pet Bricks #208,19.6
Pet Bricks #1788,19.6
Pet Bricks #2979,19.619999999999997
Pet Bricks #2280,19.62
Pet Bricks #4380,19.62
Pet Bricks #1287,19.620000000000005
Pet Bricks #1760,19.640000000000004
Pet Bricks #845,19.66
Pet Bricks #4511,19.68
Pet Bricks #755,19.700000000000003
