Attribute,Count,Percentage
,,
Background,,
BGGold,159,3.1800
BGPurpleRain,331,6.6200
BGRedVelvet,295,5.9000
BGblue,691,13.8200
BGgreen,566,11.3200
BGpink,675,13.5000
BGred,730,14.6000
BGyellow,745,14.9000
SilverFlake,213,4.2600
ff9900,595,11.9000
,,
Brick,,
Black,279,5.5800
BlackMelt,289,5.7800
Blue,364,7.2800
BlueMelt,365,7.3000
Gold,97,1.9400
GoldMelt,85,1.7000
Green,385,7.7000
GreenMelt,356,7.1200
Matrix,192,3.8400
MatrixMelt,177,3.5400
Purple,393,7.8600
PurpleMelt,371,7.4200
Red,383,7.6600
RedMelt,576,11.5200
Silver,182,3.6400
SilverMelt,189,3.7800
Trip,167,3.3400
TripMelt,150,3.0000
,,
Face,,
10 holes,458,9.1600
BNB,400,8.0000
Bitcoin,412,8.2400
Blank,492,9.8400
Ethereum,380,7.6000
Length Holes,489,9.7800
Polygon,373,7.4600
Solana,429,8.5800
WIdth Holes,456,9.1200
c3ff00,275,5.5000
ff6000,321,6.4200
lots of holes,515,10.3000
,,
Meme,,
Doge,33,0.6600
Doge GM,57,1.1400
Doge Moon,53,1.0600
Doge Moon GM,69,1.3800
Doge Pepe,55,1.1000
Doge Pepe GM,87,1.7400
Doge Pepe Hoodie,33,0.6600
Doge Pepe Hoodie GM,66,1.3200
Doge Pepe Hoodie Moon,83,1.6600
Doge Pepe Hoodie Moon GM,65,1.3000
Doge Pepe Hoodie Wojack Hoodie Moon,107,2.1400
Doge Pepe Hoodie Wojak,62,1.2400
Doge Pepe Hoodie Wojak GM,101,2.0200
Doge Pepe Hoodie Wojak Hoodie,58,1.1600
Doge Pepe Hoodie Wojak Hoodie GM,88,1.7600
Doge Pepe Hoodie Wojak Hoodie Moon GM,77,1.5400
Doge Pepe Hoodie Wojak Moon,96,1.9200
Doge Pepe Hoodie Wojak Moon GM,91,1.8200
Doge Pepe Moon,86,1.7200
Doge Pepe Moon GM,105,2.1000
Doge Pepe Wojak,86,1.7200
Doge Pepe Wojak GM,125,2.5000
Doge Pepe Wojak Hoodie,66,1.3200
Doge Pepe Wojak Hoodie GM,107,2.1400
Doge Pepe Wojak Hoodie Moon,86,1.7200
Doge Pepe Wojak Moon,120,2.4000
Doge Pepe Wojak Moon GM,131,2.6200
Doge Pepe Wokak Moon GM,148,2.9600
Doge Wojack GM,72,1.4400
Doge Wojak,54,1.0800
Doge Wojak Hoodie,39,0.7800
Doge Wojak Hoodie GM,74,1.4800
Doge Wojak Hoodie Moon,68,1.3600
Doge Wojak Hoodie Moon GM,102,2.0400
Doge Wojak Moon,87,1.7400
Doge Wojak Moon GM,103,2.0600
GM,23,0.4600
Moon,29,0.5800
Moon GM,46,0.9200
Pepe,22,0.4400
Pepe GM,54,1.0800
Pepe Hoodie,15,0.3000
Pepe Hoodie GM,34,0.6800
Pepe Hoodie Moon,46,0.9200
Pepe Hoodie Moon GM,72,1.4400
Pepe Hoodie Wojak,44,0.8800
Pepe Hoodie Wojak GM,73,1.4600
Pepe Hoodie Wojak Hoodie,36,0.7200
Pepe Hoodie Wojak Hoodie GM,80,1.6000
Pepe Hoodie Wojak Hoodie Moon,62,1.2400
Pepe Hoodie Wojak Hoodie Moon GM,103,2.0600
Pepe Hoodie Wojak Moon,72,1.4400
Pepe Hoodie Wojak Moon GM,100,2.0000
Pepe Moon,47,0.9400
Pepe Moon GM,81,1.6200
Pepe Wojack,52,1.0400
Pepe Wojak GM,71,1.4200
Pepe Wojak Hoodie,45,0.9000
Pepe Wojak Hoodie GM,63,1.2600
Pepe Wojak Hoodie Moon,78,1.5600
Pepe Wojak Hoodie Moon GM,107,2.1400
Pepe Wojak Moon,86,1.7200
Pepe Wojak Moon GM,113,2.2600
Wojack Hoodie,20,0.4000
Wojak,31,0.6200
Wojak GM,57,1.1400
Wojak Hoodie GM,36,0.7200
Wojak Hoodie Moon,46,0.9200
Wojak Hoodie Moon GM,79,1.5800
Wojak Moon,59,1.1800
Wojak Moon GM,78,1.5600
,,
Attribute Count,,
4 Attributes,5000,100
